Level,Period,Duration_seconds,Duration_days,Duration_months,Duration_years
4,Mercury -> Antardasha -> Rahu -> Duration_days,,931.3875,,
4,Mercury -> Antardasha -> Rahu -> Duration_months,,,30.597486859395527,
4,Mercury -> Antardasha -> Rahu -> Duration_years,,,,2.55
4,Mercury -> Antardasha -> Jupiter -> Duration_seconds,71530560.0,,,
4,Mercury -> Antardasha -> Jupiter -> Duration_days,,827.9,,
4,Mercury -> Antardasha -> Jupiter -> Duration_months,,,27.197766097240468,
4,Mercury -> Antardasha -> Jupiter -> Duration_years,,,,2.2666666666666666
4,Mercury -> Antardasha -> Saturn -> Duration_seconds,84942540.0,,,
4,Mercury -> Antardasha -> Saturn -> Duration_days,,983.13125,,
4,Mercury -> Antardasha -> Saturn -> Duration_months,,,32.29734724047306,
4,Mercury -> Antardasha -> Saturn -> Duration_years,,,,2.691666666666667
4,Mercury -> Antardasha -> Mercury -> Duration_seconds,76001220.0,,,
4,Mercury -> Antardasha -> Mercury -> Duration_days,,879.64375,,
4,Mercury -> Antardasha -> Mercury -> Duration_months,,,28.897626478318,
4,Mercury -> Antardasha -> Mercury -> Duration_years,,,,2.408333333333333
